X_DT,M_Paid_Views,M_Organic_Views,M_Google_Impressions,M_Email_Impressions,M_Facebook_Impressions,M_Affiliate_Impressions,M_Overall_Views,O_Sales,D_Thanksgiving,D_CyberMonday,D_ValentinesDay,D_PresidentsDay,D_BackToSchoolSale,D_LaborDay,D_YomKippur,D_ColumbusDay,D_Halloween,D_VeteransDay,D_Christmas,D_NewYearsDay,EC_CPI,EC_RTL_SALES
1/6/2018,11247,11214,16934,18463630.22,3694309,995533,16447,2961900,0,0,0,0,0,0,0,0,0,0,0,0,241.919,1297690
1/13/2018,15453,12580,12548,26708959.97,626000,983495,17111,3043768,0,0,0,0,0,0,0,0,0,0,0,0,241.919,1297690
1/20/2018,12759,13145,14895,22657725.11,2304353,1234005,11919,2967530,0,0,0,0,0,0,0,0,0,0,0,0,241.919,1297690
1/27/2018,10709,15208,13324,22043459.89,3575722,814181,13857,3359958,0,0,0,0,0,0,0,0,0,0,0,0,241.919,1297690
2/3/2018,13416,15129,12932,21541137.98,2008599,636301,16783,3156423,0,0,0,0,0,0,0,0,0,0,0,0,242.988,1297690
2/10/2018,13300,11732,13571,22921036.75,1884932,821725,16775,2805890,0,0,1,0,0,0,0,0,0,0,0,0,242.988,1297690
2/17/2018,13185,11530,12800,33457484.89,5162407,787627,14304,4154072,0,0,0,1,0,0,0,0,0,0,0,0,242.988,1297690
2/24/2018,14355,12221,13602,29277858.95,12279,639155,12643,4090487,0,0,0,0,0,0,0,0,0,0,0,0,242.988,1297690
3/3/2018,14634,12262,13514,22322308.61,561471,712295,13367,3633202,0,0,0,0,0,0,0,0,0,0,0,0,243.463,1297690
3/10/2018,14640,12491,15125,24894715.1,3712886,734639,14725,3808381,0,0,0,0,0,0,0,0,0,0,0,0,243.463,1297690
3/17/2018,13234,13114,15504,24545185.12,495818,785956,12896,3628874,0,0,0,0,0,0,0,0,0,0,0,0,243.463,1297690
3/24/2018,12591,13080,13537,22379395.82,2849652,991143,13809,3543418,0,0,0,0,0,0,0,0,0,0,0,0,243.463,1297690
3/31/2018,13854,12725,12061,22542362.28,1459787,870129,12834,3258803,0,0,0,0,0,0,0,0,0,0,0,0,243.463,1297690
4/7/2018,13711,10965,6451349,22104890.17,4204161,721721,12912,2595682,0,0,0,0,0,0,0,0,0,0,0,0,244.607,1312143
4/14/2018,12167,13892,10685524,26767946.08,2583516,718015,14611,3085254,0,0,0,0,0,0,0,0,0,0,0,0,244.607,1312143
4/21/2018,15821,15185,10381396,21734976.45,1787534,914028,14649,3750634,0,0,0,0,0,0,0,0,0,0,0,0,244.607,1312143
4/28/2018,16278,15241,11137909,24967827.17,1357874,703681,16260,3299049,0,0,0,0,0,0,0,0,0,0,0,0,244.607,1312143
5/5/2018,13502,14362,12466263,21072717.84,2188197,651325,17273,3510006,0,0,0,0,0,0,0,0,0,0,0,0,245.77,1312143
5/12/2018,13623,13820,16642107,18326957.36,1877330,831899,13233,3597602,0,0,0,0,0,0,0,0,0,0,0,0,245.77,1312143
5/19/2018,12808,14002,16588825,19980336.54,245902,703629,12457,3318922,0,0,0,0,0,0,0,0,0,0,0,0,245.77,1312143
5/26/2018,13354,12494,16029524,24124970.18,778215,821318,15681,3213327,0,0,0,0,0,0,0,0,0,0,0,0,245.77,1312143
6/2/2018,14668,14959,12629899,17636131.55,2530368,886260,13861,3580091,0,0,0,0,0,0,0,0,0,0,0,0,246.196,1312143
6/9/2018,13693,15064,11748138,19823463.13,3883730,814370,13412,3410942,0,0,0,0,0,0,0,0,0,0,0,0,246.196,1312143
6/16/2018,12243,15570,10864744,17850433.74,2036492,814203,13683,3469863,0,0,0,0,0,0,0,0,0,0,0,0,246.196,1312143
6/23/2018,15403,13680,11734018,20820041.91,1475656,939109,16008,2632022,0,0,0,0,0,0,0,0,0,0,0,0,246.196,1312143
6/30/2018,16609,13858,13796843,19613170.12,1820640,959093,13811,3774909,0,0,0,0,0,0,0,0,0,0,0,0,246.196,1312143
